gameid,home,team,SEC,DIST,REBchancesOFF,REBchancesDEF,REBchancestotal,touches,2ndAST,FTAST,passes,AST,contestedFGM,contestedFGA,contestedFGpct,uncontestedFGM,uncontestedFGA,uncontestedFGpct,FGpct,defendedatrimFGM,defendedatrimFGA,defendedatrimFGpct
22200180,False,MIL,14400,18.02,40,40,79,444,3,2,312,22,13,37,0.351,19,61,0.311,0.327,14,19,0.737
22200181,True,MEM,14400,17.8,32,51,81,391,2,4,269,25,18,36,0.5,26,52,0.5,0.5,18,27,0.667
22200181,False,MIN,14400,17.79,21,49,66,391,4,2,285,29,15,31,0.484,22,48,0.458,0.468,17,22,0.773
22200182,True,GSW,14400,17.06,21,61,81,416,4,2,300,29,17,29,0.586,23,53,0.434,0.488,14,20,0.7
22200182,False,CLE,14400,17.18,27,55,81,426,5,1,298,25,16,38,0.421,21,53,0.396,0.402,19,27,0.704
22200183,True,LAL,14400,17.71,30,37,67,377,0,2,253,22,25,49,0.51,17,39,0.436,0.477,20,24,0.833
22200183,False,SAC,14400,17.97,19,49,66,416,2,3,292,27,20,33,0.606,25,54,0.463,0.517,20,36,0.556
22200184,True,LAC,14400,17.16,28,61,86,382,4,3,258,22,15,32,0.469,19,53,0.358,0.4,11,21,0.524
22200184,False,BKN,14400,17.24,20,57,75,416,6,3,300,27,16,34,0.471,24,49,0.49,0.482,10,18,0.556
22200185,True,WAS,14400,17.7,14,66,79,369,3,4,249,27,20,34,0.588,24,54,0.444,0.5,17,29,0.586
22200185,False,UTA,14400,18.14,25,48,72,384,3,0,261,33,20,43,0.465,24,51,0.471,0.468,15,21,0.714
22200186,True,DET,14400,17.76,26,68,92,403,6,2,284,23,11,34,0.324,26,55,0.473,0.416,13,19,0.684
22200186,False,BOS,14400,16.69,18,56,74,387,4,2,269,27,9,23,0.391,30,68,0.441,0.429,7,16,0.438
22200187,True,IND,14400,18.54,24,70,90,442,3,6,322,33,12,26,0.462,28,55,0.509,0.5,14,30,0.467
22200187,False,TOR,14400,18.34,37,39,76,427,2,4,299,14,20,40,0.5,17,54,0.315,0.394,17,25,0.68
22200188,True,PHI,14400,17.81,14,60,71,380,1,5,268,24,17,28,0.607,27,52,0.519,0.55,19,24,0.792
22200188,False,ATL,14400,17.65,28,38,64,371,1,2,246,20,23,46,0.5,17,43,0.395,0.449,20,26,0.769
22200189,True,MIA,14400,18.2,22,54,73,438,4,2,318,32,20,32,0.625,29,61,0.475,0.527,21,27,0.778
22200189,False,CHA,14400,19.06,16,56,71,406,2,2,286,25,23,37,0.622,23,53,0.434,0.511,18,24,0.75
22200190,True,DAL,14400,17.08,16,55,67,358,5,1,250,26,17,26,0.654,24,55,0.436,0.506,11,19,0.579
22200190,False,POR,14400,17.44,25,48,69,357,1,2,244,20,12,28,0.429,24,52,0.462,0.45,20,25,0.8
22200191,True,NOP,14400,17.87,25,43,65,445,2,4,322,28,18,37,0.486,24,49,0.49,0.488,20,23,0.87
22200191,False,HOU,14400,17.48,27,45,70,391,1,1,267,24,15,22,0.682,25,57,0.439,0.506,24,33,0.727
22200192,True,NYK,14400,19.39,31,30,59,451,3,1,316,25,25,47,0.532,23,50,0.46,0.495,21,26,0.808
22200192,False,OKC,14400,19.51,13,58,70,386,3,3,263,31,26,35,0.743,29,53,0.547,0.625,26,42,0.619
22200193,True,CLE,14400,17.8,33,49,78,389,3,2,263,22,12,31,0.387,28,58,0.483,0.449,19,27,0.704
22200193,False,MIN,14400,18.12,24,57,76,404,2,3,286,30,20,29,0.69,26,53,0.491,0.561,12,25,0.48
22200194,True,WAS,14400,17.72,24,75,97,421,6,2,302,26,12,29,0.414,24,57,0.421,0.419,15,29,0.517
22200194,False,MEM,14400,18.35,35,62,94,398,3,1,271,21,20,52,0.385,18,44,0.409,0.396,11,22,0.5
22200195,True,PHI,14400,17.3,24,61,80,366,6,3,254,21,18,32,0.563,22,51,0.431,0.482,20,35,0.571
22200195,False,UTA,14400,17.64,38,57,92,413,4,2,285,23,15,38,0.395,22,56,0.393,0.394,15,26,0.577
22200196,True,CHI,14400,17.81,21,43,61,422,1,1,305,24,16,29,0.552,24,52,0.462,0.494,22,25,0.88
22200196,False,DEN,14400,17.65,15,47,61,431,10,5,313,33,25,39,0.641,23,41,0.561,0.6,21,27,0.778
22200197,True,SAC,14400,18.73,18,48,66,428,1,0,302,31,22,38,0.579,25,53,0.472,0.516,17,21,0.81
22200197,False,GSW,14400,18.12,16,56,67,428,5,3,308,27,21,35,0.6,21,55,0.382,0.467,22,32,0.688
22200198,True,LAL,14400,17.45,26,52,74,393,3,1,272,25,21,46,0.457,23,45,0.511,0.484,20,32,0.625
22200198,False,BKN,14400,17.41,21,54,74,403,4,4,288,22,19,39,0.487,17,41,0.415,0.45,21,35,0.6
22200199,True,DET,14400,18.3,24,46,70,360,2,5,234,23,15,33,0.455,20,44,0.455,0.455,21,29,0.724
22200199,False,TOR,14400,18.59,29,59,82,416,5,3,296,27,21,34,0.618,19,48,0.396,0.488,16,25,0.64
22200200,True,ORL,14400,18.11,46,46,91,410,1,2,282,23,13,34,0.382,23,53,0.434,0.409,24,31,0.774
22200200,False,CHA,14400,18.37,30,54,82,442,2,5,323,22,22,35,0.629,20,53,0.377,0.477,17,29,0.586
22200201,True,BOS,14400,18.09,18,51,68,448,4,1,320,25,24,44,0.545,22,52,0.423,0.479,21,34,0.618
22200201,False,OKC,14400,19.13,20,59,76,405,0,1,271,21,23,46,0.5,24,52,0.462,0.48,26,39,0.667
22200202,True,MIA,14400,17.27,25,65,89,376,2,1,257,23,14,34,0.412,24,49,0.49,0.458,11,21,0.524
22200202,False,PHX,14400,17.33,33,44,76,386,3,0,260,22,18,36,0.5,30,63,0.476,0.485,12,21,0.571
22200203,True,HOU,14400,17.79,24,49,72,384,2,3,257,20,15,33,0.455,24,53,0.453,0.453,17,22,0.773
