gameid,home,team,playerid,name,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22200004,True,IND,1629048,Goga Bitadze,606.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,True,IND,1631112,Kendall Brown,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,True,IND,201949,James Johnson,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,True,IND,1629614,Andrew Nembhard,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,True,IND,1626167,Myles Turner,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22200004,False,WAS,1630166,Deni Avdija,460.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0
22200004,False,WAS,1628398,Kyle Kuzma,2070.0,0.474,0.526,0.455,0.091,0.409,0.0,0.136,0.0,0.364,0.2,0.8,1.0,0.0,0.5,0.5
22200004,False,WAS,204001,Kristaps Porzingis,1906.0,0.643,0.357,0.533,0.0,0.2,0.2,0.267,0.133,0.533,0.75,0.25,1.0,0.0,0.8,0.2
22200004,False,WAS,203078,Bradley Beal,2251.0,0.588,0.412,0.609,0.087,0.261,0.0,0.13,0.174,0.522,0.143,0.857,1.0,0.0,0.333,0.667
22200004,False,WAS,1628420,Monte Morris,1283.0,0.833,0.167,0.286,0.0,0.429,0.571,0.286,0.286,0.286,0.0,1.0,1.0,0.0,0.5,0.5
22200004,False,WAS,1629060,Rui Hachimura,1440.0,0.857,0.143,0.571,0.0,0.429,0.429,0.0,0.0,0.571,0.0,1.0,1.0,0.0,0.333,0.667
22200004,False,WAS,1626153,Delon Wright,1597.0,0.571,0.429,0.5,0.0,0.375,0.5,0.125,0.0,0.5,0.5,0.5,1.0,0.0,0.667,0.333
22200004,False,WAS,1630264,Anthony Gill,927.0,0.667,0.333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
22200004,False,WAS,203115,Will Barton,1507.0,0.7,0.3,0.286,0.0,0.429,0.143,0.286,0.0,0.286,0.0,1.0,0.5,0.5,0.25,0.75
22200004,False,WAS,1629655,Daniel Gafford,959.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.167,1.0,0.5,0.5,0.0,0.0,0.5,0.5
