gameid,home,team,playerid,name,SEC,PTS,contestedshots,contestedshots2P,contestedshots3P,deflections,chargesdrawn,screenAST,screenASTPTS,looseballsrecoveredOFF,looseballsrecoveredDEF,looseballsrecoveredtotal,OFFboxouts,DEFboxouts,boxoutplayerteamREB,boxoutplayerREB,boxouts
22200009,True,MEM,1626145,Tyus Jones,1499,15,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0
22200009,True,MEM,1631223,David Roddy,766,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1
22200009,True,MEM,1630214,Xavier Tillman,949,4,9,7,2,1,0,1,2,0,0,0,1,1,2,1,2
22200009,True,MEM,1631222,Jake LaRavia,752,5,6,3,3,1,0,0,0,0,0,0,0,1,1,0,1
22200009,False,NYK,1629628,RJ Barrett,2256,11,4,1,3,2,0,0,0,0,0,0,0,1,1,1,1
22200009,False,NYK,203944,Julius Randle,2095,24,3,0,3,1,0,0,0,1,0,1,0,0,0,0,0
22200009,False,NYK,1629011,Mitchell Robinson,761,4,8,6,2,2,0,1,2,0,0,0,1,2,3,0,3
22200009,False,NYK,203095,Evan Fournier,1980,14,5,1,4,6,0,0,0,0,0,0,0,1,1,0,1
22200009,False,NYK,1628973,Jalen Brunson,2165,15,9,2,7,6,1,0,0,0,0,0,0,0,0,0,0
22200009,False,NYK,1630193,Immanuel Quickley,1015,0,7,2,5,2,0,0,0,0,0,0,0,0,0,0,0
22200009,False,NYK,1628392,Isaiah Hartenstein,2415,16,18,15,3,2,0,5,11,1,0,1,0,1,1,0,1
22200009,False,NYK,1629629,Cam Reddish,1682,22,4,1,3,1,0,0,0,1,2,3,0,0,0,0,0
22200009,False,NYK,1630167,Obi Toppin,809,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
22200009,False,NYK,201565,Derrick Rose,723,4,5,4,1,0,0,0,0,0,1,1,0,0,0,0,0
22200010,True,MIN,1630183,Jaden McDaniels,2135,19,14,5,9,4,0,0,0,0,1,1,0,1,1,0,1
22200010,True,MIN,1626157,Karl-Anthony Towns,2130,12,6,5,1,2,0,0,0,0,0,0,0,1,0,0,1
22200010,True,MIN,203497,Rudy Gobert,2062,23,15,11,4,3,0,6,14,0,0,0,1,0,1,1,1
22200010,True,MIN,1630162,Anthony Edwards,1904,11,3,2,1,1,0,0,0,0,1,1,0,0,0,0,0
22200010,True,MIN,1626156,D'Angelo Russell,2074,20,9,4,5,4,0,0,0,0,0,0,0,0,0,0,0
22200010,True,MIN,203937,Kyle Anderson,1335,2,7,1,6,1,0,0,0,1,1,2,0,2,1,0,2
22200010,True,MIN,1629162,Jordan McLaughlin,656,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22200010,True,MIN,1629669,Jaylen Nowell,1095,13,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0
22200010,True,MIN,1627752,Taurean Prince,746,11,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0
22200010,True,MIN,1627854,Bryn Forbes,215,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
22200010,True,MIN,203085,Austin Rivers,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200010,False,OKC,1629652,Luguentz Dort,1954,10,5,1,4,3,0,0,0,1,0,1,0,0,0,0,0
22200010,False,OKC,1629026,Kenrich Williams,1320,5,2,1,1,1,1,0,0,1,2,3,0,4,3,0,4
22200010,False,OKC,1630197,Aleksej Pokusevski,1488,11,9,8,1,0,0,2,5,0,0,0,0,1,1,0,1
22200010,False,OKC,1630581,Josh Giddey,2031,14,5,3,2,5,0,0,0,1,2,3,0,1,1,0,1
22200010,False,OKC,1628983,Shai Gilgeous-Alexander,2207,32,10,5,5,7,0,0,0,0,0,0,0,0,0,0,0
22200010,False,OKC,1630544,Tre Mann,1410,12,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0
22200010,False,OKC,1630526,Jeremiah Robinson-Earl,744,6,8,6,2,0,0,1,3,0,0,0,0,2,1,1,2
22200010,False,OKC,1631114,Jalen Williams,354,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22200010,False,OKC,1629647,Darius Bazley,1012,7,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0
22200010,False,OKC,1631172,Ousmane Dieng,545,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
22200010,False,OKC,203488,Mike Muscala,451,2,3,2,1,1,0,2,4,0,0,0,0,2,2,1,2
22200010,False,OKC,1630647,Eugene Omoruyi,873,4,2,0,2,2,1,1,3,1,0,1,1,0,1,0,1
22200010,False,OKC,1630198,Isaiah Joe,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200011,True,SAS,1629640,Keldon Johnson,1779,20,3,2,1,2,0,0,0,1,0,1,0,0,0,0,0
22200011,True,SAS,1631110,Jeremy Sochan,1646,4,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0
22200011,True,SAS,1627751,Jakob Poeltl,1619,14,10,9,1,0,0,1,2,0,1,1,1,1,2,2,2
22200011,True,SAS,1630170,Devin Vassell,1715,11,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
22200011,True,SAS,1630200,Tre Jones,1462,14,7,4,3,2,0,0,0,0,0,0,0,0,0,0,0
22200011,True,SAS,1630563,Joshua Primo,1551,10,3,1,2,1,0,0,0,0,1,1,0,0,0,0,0
22200011,True,SAS,203926,Doug McDermott,985,12,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
22200011,True,SAS,1628380,Zach Collins,733,1,11,8,3,2,0,1,2,0,0,0,0,0,0,0,0
22200011,True,SAS,1626196,Josh Richardson,1030,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
22200011,True,SAS,1628966,Keita Bates-Diop,296,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22200011,True,SAS,1629641,Romeo Langford,528,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
22200011,True,SAS,1629676,Isaiah Roby,528,5,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1
22200011,True,SAS,203476,Gorgui Dieng,528,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,202330,Gordon Hayward,1734,20,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,1629023,P.J. Washington,1791,17,7,4,3,0,0,0,0,1,1,2,0,1,1,0,1
22200011,False,CHA,203486,Mason Plumlee,1334,12,6,5,1,3,0,5,10,0,0,0,0,0,0,0,0
22200011,False,CHA,1626162,Kelly Oubre Jr.,1358,13,2,0,2,4,0,0,0,1,0,1,0,0,0,0,0
22200011,False,CHA,1626179,Terry Rozier,1783,24,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,1629667,Jalen McDaniels,1400,5,8,3,5,0,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,1628372,Dennis Smith Jr.,1271,12,6,3,3,2,0,0,0,1,1,2,0,0,0,0,0
22200011,False,CHA,1628998,Cody Martin,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,1630208,Nick Richards,1286,19,2,1,1,0,0,2,4,0,0,0,2,1,3,3,3
22200011,False,CHA,1630550,JT Thor,481,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,1630547,James Bouknight,866,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,1631121,Bryce McGowens,260,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22200011,False,CHA,1631109,Mark Williams,260,2,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1
