gameid,home,team,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
42200111,False,ATL,14400,0.704,0.296,0.667,0.121,0.152,0.172,0.182,0.192,0.545,0.545,0.455,1.0,0.0,0.605,0.395
42200112,True,BOS,14400,0.616,0.384,0.555,0.017,0.378,0.143,0.067,0.118,0.538,0.515,0.485,0.733,0.267,0.583,0.417
42200112,False,ATL,14400,0.525,0.475,0.509,0.132,0.453,0.104,0.038,0.208,0.377,0.444,0.556,0.563,0.438,0.488,0.512
42200113,True,ATL,14400,0.626,0.374,0.554,0.123,0.346,0.108,0.1,0.115,0.431,0.361,0.639,0.733,0.267,0.471,0.529
42200113,False,BOS,14400,0.478,0.522,0.393,0.066,0.516,0.082,0.09,0.238,0.328,0.542,0.458,0.857,0.143,0.689,0.311
42200114,True,ATL,14400,0.622,0.378,0.479,0.116,0.347,0.066,0.174,0.091,0.364,0.483,0.517,0.786,0.214,0.581,0.419
42200114,False,BOS,14400,0.551,0.449,0.465,0.031,0.372,0.14,0.163,0.093,0.434,0.467,0.533,0.688,0.313,0.543,0.457
42200115,True,BOS,14400,0.587,0.413,0.632,0.12,0.308,0.205,0.06,0.068,0.513,0.514,0.486,1.0,0.0,0.633,0.367
42200115,False,ATL,14400,0.573,0.427,0.437,0.118,0.479,0.067,0.084,0.118,0.319,0.5,0.5,0.684,0.316,0.578,0.422
42200116,True,ATL,14400,0.628,0.372,0.483,0.067,0.375,0.033,0.142,0.108,0.417,0.517,0.483,0.867,0.133,0.636,0.364
42200116,False,BOS,14400,0.553,0.447,0.453,0.031,0.422,0.141,0.125,0.063,0.422,0.379,0.621,0.722,0.278,0.511,0.489
42200121,True,PHI,14400,0.517,0.483,0.347,0.017,0.521,0.099,0.132,0.256,0.331,0.714,0.286,0.81,0.19,0.762,0.238
42200121,False,BKN,14400,0.586,0.414,0.515,0.139,0.386,0.168,0.099,0.109,0.376,0.385,0.615,1.0,0.0,0.59,0.41
42200122,True,PHI,14400,0.563,0.438,0.521,0.042,0.344,0.135,0.135,0.125,0.479,0.44,0.56,0.909,0.091,0.583,0.417
42200122,False,BKN,14400,0.475,0.525,0.405,0.143,0.464,0.071,0.131,0.262,0.262,0.706,0.294,0.923,0.077,0.8,0.2
42200123,True,BKN,14400,0.62,0.38,0.495,0.062,0.309,0.103,0.196,0.186,0.433,0.583,0.417,0.8,0.2,0.647,0.353
42200123,False,PHI,14400,0.622,0.378,0.529,0.059,0.382,0.069,0.088,0.118,0.471,0.37,0.63,0.385,0.615,0.375,0.625
42200124,True,BKN,14400,0.538,0.463,0.545,0.091,0.307,0.159,0.148,0.182,0.455,0.667,0.333,0.444,0.556,0.606,0.394
