gameid,home,team,SEC,estOFFRTG,OFFRTG,estDEFRTG,DEFRTG,estNETRTG,NETRTG,ASTpct,ASTtoTOV,ASTratio,ORBpct,DRBpct,REBpct,estteamTOVpct,TOVratio,effFGpct,TSpct,USGpct,estUSGpct,estpace,pace,paceper40,POS,pie
22200019,True,WAS,14400,105.3,103.0,103.6,103.1,1.7,-0.1,0.634,1.53,20.3,0.179,0.771,0.506,17.555,17.2,0.575,0.601,1,0.198,96.68,98.0,81.67,99,0.545
22200019,False,CHI,14400,103.6,103.1,105.3,103.0,-1.7,0.1,0.576,1.46,15.1,0.229,0.821,0.494,13.469,13.4,0.462,0.535,1,0.203,96.68,98.0,81.67,97,0.455
22200020,True,ATL,14400,103.8,105.9,95.9,97.0,7.9,8.9,0.65,1.53,18.7,0.286,0.776,0.531,16.34,16.7,0.522,0.562,1,0.2,103.12,101.5,84.58,102,0.567
22200020,False,ORL,14400,95.9,97.0,103.8,105.9,-7.9,-8.9,0.485,0.84,12.5,0.224,0.714,0.469,18.591,18.8,0.463,0.526,1,0.198,103.12,101.5,84.58,101,0.433
22200021,True,BKN,14400,117.5,114.7,106.1,109.4,11.4,5.4,0.684,2.0,19.7,0.277,0.708,0.495,14.015,13.7,0.556,0.588,1,0.202,95.84,95.5,79.58,95,0.516
22200021,False,TOR,14400,106.1,109.4,117.5,114.7,-11.4,-5.4,0.61,1.67,19.0,0.292,0.723,0.505,15.164,15.6,0.554,0.571,1,0.195,95.84,95.5,79.58,96,0.484
22200022,True,MIA,14400,106.6,109.5,118.6,116.8,-12.0,-7.4,0.548,2.3,17.5,0.314,0.658,0.461,10.246,10.5,0.5,0.527,1,0.199,95.6,95.0,79.17,95,0.479
22200022,False,BOS,14400,118.6,116.8,106.6,109.5,12.0,7.4,0.415,0.85,13.9,0.342,0.686,0.539,21.368,21.1,0.608,0.648,1,0.199,95.6,95.0,79.17,95,0.521
22200023,True,NYK,14400,123.0,125.0,99.9,101.9,23.1,23.1,0.58,2.42,19.9,0.28,0.69,0.5,11.355,11.5,0.611,0.621,1,0.199,105.88,104.0,86.67,104,0.595
22200023,False,DET,14400,99.9,101.9,123.0,125.0,-23.1,-23.1,0.667,1.73,17.9,0.31,0.72,0.5,14.14,14.4,0.483,0.509,1,0.202,105.88,104.0,86.67,104,0.405
