gameid,home,team,SEC,PTS,contestedshots,contestedshots2P,contestedshots3P,deflections,chargesdrawn,screenAST,screenASTPTS,looseballsrecoveredOFF,looseballsrecoveredDEF,looseballsrecoveredtotal,OFFboxouts,DEFboxouts,boxoutplayerteamREB,boxoutplayerREB,boxouts
22200059,False,PHI,14400,109,50,27,23,11,2,5,12,1,2,3,0,15,14,2,15
22200060,True,MIL,14400,110,51,40,11,13,0,2,4,1,1,2,1,4,5,2,5
22200060,False,BKN,14400,99,56,33,23,13,0,14,31,1,1,2,0,13,13,3,13
22200061,True,CHI,14400,124,57,28,29,20,2,6,15,4,5,9,1,6,6,3,7
22200061,False,IND,14400,109,60,36,24,17,3,4,9,3,2,5,0,2,2,1,2
22200062,True,MIN,14400,134,59,33,26,18,0,8,20,1,2,3,0,4,4,2,4
22200062,False,SAS,14400,122,54,30,24,14,0,10,24,3,1,4,2,6,8,3,8
22200063,True,UTA,14400,109,49,32,17,16,0,3,8,2,3,5,1,8,9,6,9
22200063,False,HOU,14400,101,46,24,22,14,1,8,21,3,3,6,1,8,9,4,9
22200064,True,DEN,14400,110,44,27,17,19,0,5,10,2,5,7,0,1,1,1,1
22200064,False,LAL,14400,99,44,27,17,16,1,8,18,1,1,2,2,3,5,5,5
22200065,True,POR,14400,98,43,21,22,16,2,7,17,0,1,1,1,4,5,5,5
22200065,False,MIA,14400,119,38,18,20,18,0,3,6,1,0,1,0,1,1,0,1
22200066,True,BKN,15900,125,43,20,23,16,0,9,22,6,3,9,1,6,7,4,7
22200066,False,DAL,15900,129,64,43,21,21,0,6,15,2,2,4,0,8,6,3,8
22200067,True,OKC,14400,118,49,32,17,14,1,9,23,1,2,3,1,7,6,1,8
22200067,False,LAC,14400,110,41,30,11,15,1,7,15,2,2,4,0,7,7,1,7
22200068,True,GSW,14400,123,69,35,34,9,0,9,25,1,0,1,3,2,4,4,5
22200068,False,MIA,14400,110,63,25,38,16,0,8,18,3,3,6,2,3,2,0,5
22200069,True,SAC,14400,110,53,34,19,16,0,7,15,4,3,7,0,3,3,2,3
22200069,False,MEM,14400,125,45,27,18,17,1,12,28,2,2,4,4,7,11,7,11
22200070,True,DET,14400,112,64,44,20,7,0,12,25,3,1,4,2,16,14,7,18
22200070,False,ATL,14400,136,48,31,17,9,2,15,32,3,1,4,2,11,8,3,13
22200071,True,ORL,14400,113,52,29,23,21,0,7,17,2,2,4,0,10,9,2,10
22200071,False,CHA,14400,93,48,23,25,11,0,4,11,1,2,3,1,2,3,2,3
22200072,True,BOS,15900,123,51,27,24,13,1,9,20,3,5,8,0,8,4,2,8
22200072,False,CLE,15900,132,50,26,24,14,2,13,31,3,4,7,1,4,4,4,5
22200073,True,TOR,14400,90,44,22,22,11,0,3,7,3,5,8,0,1,1,1,1
22200073,False,PHI,14400,112,52,21,31,11,2,4,9,1,5,6,0,6,5,4,6
22200074,True,WAS,14400,117,46,31,15,12,0,5,10,2,2,4,1,3,3,1,4
22200074,False,IND,14400,127,50,28,22,14,2,8,19,1,1,2,0,2,2,1,2
22200075,True,MIL,14400,119,63,41,22,14,0,5,12,2,2,4,2,1,3,2,3
22200075,False,NYK,14400,108,58,32,26,16,0,5,10,1,2,3,0,11,6,2,11
22200076,True,MIN,14400,111,55,34,21,20,0,4,10,1,2,3,2,3,5,5,5
22200076,False,LAL,14400,102,61,35,26,10,0,5,13,4,1,5,0,5,4,1,5
22200077,True,SAS,14400,129,72,51,21,8,1,6,13,4,2,6,1,2,3,1,3
22200077,False,CHI,14400,124,58,26,32,23,1,10,22,3,6,9,3,2,5,4,5
22200078,True,DEN,14400,117,43,30,13,7,0,6,15,0,0,0,4,4,8,6,8
22200078,False,UTA,14400,101,41,26,15,8,0,7,18,4,4,8,1,3,4,3,4
22200079,True,PHX,14400,124,51,29,22,16,0,9,18,5,4,9,2,7,8,4,9
22200079,False,NOP,14400,111,47,25,22,25,1,5,12,4,2,6,3,3,6,4,6
22200080,True,POR,14400,125,53,32,21,22,0,9,23,5,2,7,2,7,9,7,9
22200080,False,HOU,14400,111,48,24,24,20,1,5,11,5,3,8,3,7,10,5,10
22200081,True,SAC,14400,119,41,31,10,10,1,12,32,0,2,2,1,12,13,3,13
22200081,False,MIA,14400,113,32,20,12,14,1,11,29,2,3,5,0,11,10,4,11
22200082,True,CHA,15900,120,43,21,22,10,0,12,28,2,2,4,2,3,4,3,5
22200082,False,GSW,15900,113,61,40,21,21,1,17,39,3,1,4,1,4,5,3,5
22200083,True,BKN,14400,116,54,29,25,10,0,11,29,1,3,4,1,2,3,2,3
22200083,False,IND,14400,125,38,21,17,13,0,7,18,1,1,2,0,3,3,2,3
22200084,True,CHI,14400,109,43,21,22,15,0,8,18,2,0,2,0,3,3,1,3
22200084,False,PHI,14400,114,39,22,17,18,2,4,10,0,1,1,0,2,2,1,2
22200085,True,MIL,14400,123,53,36,17,16,0,8,19,5,1,6,4,7,11,8,11
22200085,False,ATL,14400,115,54,33,21,14,1,18,42,2,2,4,3,9,12,7,12
22200086,True,DAL,15900,111,63,43,20,20,0,6,14,6,6,12,2,7,7,4,9
22200086,False,OKC,15900,117,62,31,31,18,2,4,8,4,6,10,0,10,6,1,10
22200087,True,UTA,14400,124,38,28,10,10,0,7,18,3,1,4,0,6,2,1,6
22200087,False,MEM,14400,123,38,16,22,18,0,13,31,0,5,5,1,5,4,1,6
22200088,True,LAC,14400,91,47,33,14,12,1,11,25,2,4,6,3,12,12,4,15
22200088,False,NOP,14400,112,39,23,16,20,1,7,18,1,1,2,1,5,6,2,6
22200089,True,BOS,14400,112,56,41,15,8,1,8,21,2,2,4,1,6,7,2,7
22200089,False,WAS,14400,94,46,23,23,8,0,7,16,7,2,9,0,3,3,0,3
22200090,True,CLE,14400,121,61,44,17,7,2,9,22,2,0,2,0,3,3,0,3
22200090,False,NYK,14400,108,54,27,27,18,0,5,12,4,0,4,1,2,3,1,3
22200091,True,DET,14400,128,63,33,30,12,1,5,12,3,2,5,2,6,5,4,8
22200091,False,GSW,14400,114,58,35,23,20,1,13,32,5,1,6,0,6,4,0,6
22200092,True,SAS,14400,107,57,47,10,12,0,5,11,2,3,5,2,9,11,8,11
22200092,False,MIN,14400,98,42,22,20,21,2,9,18,2,7,9,0,6,6,4,6
22200093,True,DAL,14400,114,63,41,22,16,0,6,13,3,4,7,1,2,2,0,3
22200093,False,ORL,14400,105,60,33,27,7,0,6,13,3,0,3,2,5,6,3,7
22200094,True,PHX,14400,124,49,35,14,33,0,8,17,0,2,2,1,3,4,3,4
22200094,False,HOU,14400,109,42,20,22,22,0,3,7,0,3,3,2,4,5,3,6
22200095,True,LAL,14400,121,63,32,31,16,0,3,6,0,0,0,3,3,6,4,6
22200095,False,DEN,14400,110,58,38,20,12,0,7,18,2,0,2,1,2,3,3,3
22200096,True,CHA,14400,108,42,26,16,21,0,12,28,0,4,4,0,8,5,4,8
22200096,False,SAC,14400,115,49,30,19,11,0,9,21,3,5,8,3,4,7,6,7
22200097,True,WAS,14400,111,50,32,18,17,2,10,22,4,5,9,1,1,2,1,2
22200097,False,PHI,14400,118,39,22,17,22,0,11,25,0,4,4,2,7,7,2,9
22200098,True,BKN,14400,116,48,26,22,22,0,7,15,1,6,7,1,9,8,3,10
22200098,False,IND,14400,109,46,25,21,19,1,12,29,2,4,6,0,5,5,1,5
22200099,True,TOR,14400,139,52,27,25,18,0,11,25,0,1,1,1,3,4,1,4
22200099,False,ATL,14400,109,56,31,25,9,0,5,13,4,1,5,0,7,6,3,7
